step,type,amount,oldbalanceOrg,newbalanceOrig,newbalanceDest,sender,recipient
2,TRANSFER,320000.00,320000.00,0.00,0.00,acc_8291_alec,acc_4412_ghost
14,PAYMENT,65.20,1540.00,1474.80,0.00,acc_1092_claire,merch_walmart_store
4,CASH_OUT,92000.00,105000.00,13000.00,45000.00,acc_7721_devon,atm_terminal_92
18,TRANSFER,4200.00,8500.00,4300.00,12000.00,acc_3391_maya,acc_9921_dest
6,TRANSFER,450000.00,450000.00,0.00,0.00,acc_9912_victor,acc_1120_wire
11,CASH_IN,1200.00,3400.00,4600.00,3400.00,acc_4411_liam,acc_0012_bank
16,PAYMENT,18.50,650.00,631.50,0.00,acc_5582_noah,merch_spotify_sub
23,DEBIT,450.00,3200.00,2750.00,0.00,acc_6621_zoe,acc_utility_water
21,TRANSFER,251.05,4852.61,4601.56,4653.22,acc_5506_zoe,acc_2535_noah
20,TRANSFER,3736.72,13172.75,9436.03,16116.39,acc_4257_ethan,acc_1106_max
23,PAYMENT,382.93,1115.80,732.87,0.00,acc_5552_victor,merch_spotify_sub
3,PAYMENT,135.94,1752.58,1616.64,0.00,acc_6881_grace,merch_walmart_store
24,PAYMENT,278.26,1923.75,1645.49,0.00,acc_3045_lily,merch_grocery_mart
29,CASH_IN,3340.19,788.60,4128.79,788.60,acc_4150_ethan,acc_0045_bank
3,CASH_IN,3214.85,2851.94,6066.79,2851.94,acc_2654_nina,acc_0045_bank
6,PAYMENT,468.64,1371.54,902.90,0.00,acc_4432_olivia,merch_spotify_sub
20,CASH_OUT,17592.92,37476.83,19883.91,67069.09,acc_9751_ruby,atm_terminal_44
21,CASH_OUT,38007.63,49318.13,11310.50,49460.03,acc_4598_olivia,atm_terminal_17
2,CASH_IN,4574.37,755.27,5329.64,755.27,acc_7572_emma,acc_0078_bank
29,CASH_OUT,66749.90,75385.46,8635.56,89692.49,acc_4483_sam,atm_terminal_92
9,TRANSFER,242146.20,242795.22,649.02,9870.32,acc_9830_emma,acc_3266_alex
25,TRANSFER,156444.70,406435.71,249991.01,5028.28,acc_2796_victor,acc_8668_alex
18,CASH_IN,3440.38,7235.15,10675.53,7235.15,acc_1188_olivia,acc_0078_bank
25,PAYMENT,83.29,1502.83,1419.54,0.00,acc_6573_maya,merch_walmart_store
24,CASH_IN,2587.64,7643.43,10231.07,7643.43,acc_5315_alex,acc_0012_bank
28,CASH_OUT,11768.92,30637.75,18868.83,38737.87,acc_9317_ivy,atm_terminal_30
25,DEBIT,35.19,2080.11,2044.92,0.00,acc_1009_ivy,acc_utility_gas
29,DEBIT,473.03,535.97,62.94,0.00,acc_6038_zoe,acc_utility_water
3,CASH_OUT,10544.90,80373.22,69828.32,34309.02,acc_2133_max,atm_terminal_94
18,TRANSFER,4979.11,12328.58,7349.47,17992.28,acc_9645_grace,acc_7118_priya
15,TRANSFER,150.28,7092.67,6942.39,1348.01,acc_4681_devon,acc_1964_zoe
2,CASH_IN,3377.99,2456.25,5834.24,2456.25,acc_2160_alex,acc_0012_bank
18,TRANSFER,15800.08,15800.08,0.00,681.06,acc_8744_zoe,acc_1150_wire
14,PAYMENT,324.86,3284.60,2959.74,0.00,acc_1887_olivia,merch_walmart_store
13,CASH_OUT,16077.45,29546.92,13469.47,37171.53,acc_2790_zoe,atm_terminal_27
9,PAYMENT,428.70,4049.71,3621.01,0.00,acc_2235_priya,merch_spotify_sub
2,CASH_OUT,751.71,3198.92,2447.21,9067.27,acc_9856_finn,atm_terminal_40
16,PAYMENT,132.05,340.25,208.20,0.00,acc_7570_owen,merch_target
9,DEBIT,766.71,2653.44,1886.73,0.00,acc_8454_jake,acc_utility_internet
5,PAYMENT,273.39,2916.94,2643.55,0.00,acc_4566_claire,merch_starbucks
2,TRANSFER,1568.29,18428.05,16859.76,11900.70,acc_8811_alex,acc_4044_devon
22,CASH_IN,2891.41,9421.80,12313.21,9421.80,acc_7615_maya,acc_0078_bank
20,TRANSFER,62246.29,304352.12,242105.83,5312.29,acc_2343_raj,acc_6147_zoe
5,CASH_OUT,36296.57,48110.40,11813.83,36762.34,acc_5915_priya,atm_terminal_19
20,DEBIT,414.59,3318.28,2903.69,0.00,acc_2638_devon,acc_utility_electric
30,PAYMENT,146.07,1259.21,1113.14,0.00,acc_2127_owen,merch_apple_store
27,CASH_OUT,119219.67,147594.14,28374.47,119610.83,acc_5956_ivy,atm_terminal_77
27,CASH_OUT,2867.37,21009.38,18142.01,39988.20,acc_2697_owen,atm_terminal_23
5,PAYMENT,345.31,1747.26,1401.95,0.00,acc_4450_ethan,merch_uber_eats
17,PAYMENT,415.53,3189.71,2774.18,0.00,acc_1832_devon,merch_walmart_store
1,PAYMENT,84.98,4900.00,4815.02,0.00,acc_3143_sam,merch_apple_store
18,CASH_OUT,10842.36,12211.34,1368.98,38121.87,acc_1158_maya,atm_terminal_29
27,PAYMENT,157.59,680.86,523.27,0.00,acc_3426_raj,merch_walmart_store
29,PAYMENT,391.16,558.83,167.67,0.00,acc_5088_olivia,merch_target
20,CASH_OUT,20267.42,25212.76,4945.34,64338.23,acc_4878_grace,atm_terminal_32
1,TRANSFER,14706.51,18650.91,3944.40,17443.34,acc_6442_zara,acc_2771_nina
28,PAYMENT,178.08,4596.34,4418.26,0.00,acc_4269_finn,merch_netflix
8,TRANSFER,223657.17,438958.82,215301.65,18784.74,acc_4164_nina,acc_9785_sara
4,CASH_IN,4919.40,5847.84,10767.24,5847.84,acc_5279_liam,acc_0012_bank
4,CASH_OUT,51853.87,118177.80,66323.93,57636.16,acc_6663_ruby,atm_terminal_75
29,CASH_OUT,679.46,106609.01,105929.55,35022.32,acc_5173_claire,atm_terminal_78
24,CASH_OUT,61952.25,65263.31,3311.06,93110.02,acc_4228_tom,atm_terminal_52
22,CASH_IN,2101.13,3161.92,5263.05,3161.92,acc_5920_alex,acc_0045_bank
23,PAYMENT,470.48,2131.21,1660.73,0.00,acc_3085_noah,merch_amazon
20,CASH_OUT,38400.82,125225.05,86824.23,59895.23,acc_7653_mia,atm_terminal_36
19,CASH_OUT,45311.73,66826.12,21514.39,68971.04,acc_6279_priya,atm_terminal_75
29,DEBIT,366.29,691.81,325.52,0.00,acc_3780_olivia,acc_utility_gas
